;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;02.850.182/0001-15;02.850.182/0001-15 - ELETROCEL LTDA;21;4333732.4799999995;206368.21333333332
1;03.691.134/0001-94;03.691.134/0001-94 - PAESAN - PAVIMENTACAO ENGENHARIA E SANEAMENTO LTDA;18;5485569.11;304753.83944444446
2;04.910.323/0001-73;04.910.323/0001-73 - MOVEIS ANDRADE - INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES;3;376000.0;125333.33333333333
3;09.290.603/0001-40;09.290.603/0001-40 - INTERMAPAS GEOTECNOLOGIAS LTDA;8;1423469.49;177933.68625
4;09.316.105/0018-77;09.316.105/0018-77 - FRIOVIX COMERCIO DE REFRIGERACAO LTDA;2;151450.0;75725.0
5;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;2;112506.44;56253.22
6;17.434.732/0001-92;17.434.732/0001-92 - CONSTRUTORA ANA CLARA LTDA;14;1808574.43;129183.88785714285
7;19.758.309/0001-73;19.758.309/0001-73 - ENPROL ENGENHARIA E PROJETOS LTDA;5;2063178.24;412635.648
8;21.055.961/0001-73;21.055.961/0001-73 - CONCRETTA PLANEJAMENTO E EXECUCAO DE OBRAS CIVIS LTDA;24;3078383.0100000002;128265.95875
9;22.615.610/0001-32;22.615.610/0001-32 - M2 ENGENHARIA E CONSTRUTORA EIRELI;2;38568.79;19284.395
10;26.368.565/0001-10;26.368.565/0001-10 - G S COSTA CONSTRUTORA LTDA;8;1630224.0699999998;203778.00874999998
11;27.343.602/0001-06;27.343.602/0001-06 - JLM DISTRIBUIDORA LTDA;9;202569.71;22507.745555555553
12;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;19;3045607.33;160295.12263157894
